company_name|status|date|report|company_response|response_date|rating_score|consumer_written_evaluation
Serasa Experian|Não Resolvido|25/04/2025, Santa Maria - RS|Solicito a imediata retirada da negativação indevida referente a dívida prescrita, com mais de 5 anos, registrada de forma ilegal no Serasa. Caso não seja retirada, tomarei as medidas judiciais cabíveis, inclusive pedido de indenização por danos morais.|"Oi, FLAVIA. Tudo bem?


Acabamos de responder a sua solicitação. Por favor, acesse o campo ""Complemento da Reclamação"" e confira a resposta.


Conte com o nosso apoio.


Equipe Serasa Experian."|(no mesmo dia)|Nota 2|<não há comentários do consumidor>
Serasa Experian|Não Resolvido|25/04/2025, Santa Tereza do Oeste - PR|“Solicito a retirada imediata da dívida prescrita que ainda consta no meu nome no Serasa/SPC. A manutenção dessa informação fere o CDC (art. 43, §1º) e a Súmula 13 do STJ. Caso não resolvido, tomarei providências judiciais.”|"Oi, KARINA. Tudo bem?


Acabamos de responder a sua solicitação. Por favor, acesse o campo ""Complemento da Reclamação"" e confira a resposta.


Conte com o nosso apoio.


Equipe Serasa Experian."|(no mesmo dia)|Nota 1|<não há comentários do consumidor>
Serasa Experian|Resolvido|25/04/2025, Manaus - AM|Solicito a imediata retirada da negativacão indevida referente à dívida prescrita, com mais de 5 anos,registrada de forma ilegal no serasa. Caso não seja retirada,tomarei as medidas judiciais cabíveis,inclusive pedido de indenização por danos morais.|"Oi, EMERSON. Tudo bem?


Acabamos de responder a sua solicitação. Por favor, acesse o campo ""Complemento da Reclamação"" e confira a resposta.


Conte com o nosso apoio.


Equipe Serasa Experian."|(no mesmo dia)|Nota 1|<não há comentários do consumidor>
Serasa Experian|Não Resolvido|25/04/2025, Macapá - AP|"Solicito a retirada imediata de cobrança de dívidas com mais de cinco anos em meu nome.
Caso não seja retirada tomarei medidas cabíveis  na justiça.inclusive entrarei com pedido de indenização perante a justiça!"|"Oi, Washington. Tudo bem?


Acabamos de responder a sua solicitação. Por favor, acesse o campo ""Complemento da Reclamação"" e confira a resposta.


Conte com o nosso apoio.


Equipe Serasa Experian."|(no mesmo dia)|Nota 3|<não há comentários do consumidor>
Cartões Renner (Realize CFI)|Resolvido|25/04/2025, Rio Grande da Serra - SP|Realizei o pagamento de um acordo para quitar uma dívida com desconto porém meu nome continua no REGISTRATO e isso está prejudicando o meu crédito. A dívida já foi paga e por isso não pode seguir me negativando pois isso viola o código de defesa do consumidor.|"Olá, tudo bem?

Informamos que sua manifestação foi respondida. 
Pedimos que verifique o retorno em “detalhes” e em caso de dúvidas você pode nos enviar uma interação através desta demanda que iremos avaliar e responder o mais breve possível.

Agradecemos pela sua confiança e parceria.

Atenciosamente,
Equipe Relacionamento Lojas Renner | Consumidor.gov"|(no mesmo dia)|Nota 1|<não há comentários do consumidor>
Samsung - Loja Online|Não Resolvido|25/04/2025, Serra - ES|No dia 22/01/2025 comprei o telefone S25 Ultra mediante propagando vinculada no Canal do Youtube da Samsung (LiveShop) com a promessa de 20% de Cashback pelo site da Meliuz, a compra foi aprovada e com o crédito do cashaback em até 90 dias. Os 90 dias terminaram e não recebi o cashaback prometido, em contato com a Meliuz fui informado que estavam com atraso para confirmação junto à Samsung, a Meliuz solicitou um prazo adicional de 30 dias. O prazo de 30 dias também terminou e o cashback não apareceu na minha conta. Em um novo contato a Meliuz informou que a confirmação estava pendente pela Loja Samsung. Ou seja, a cada novo contato uma nova promessa.|"Prezado Consumidor,

Informamos que os esclarecimentos acerca da sua demanda foram prestados. Detalhamos a tratativa na carta em anexo.

Diante da finalização, peço que, por favor, avalie meu atendimento.

Agradeço sua preferência pela Samsung.
Atendimento Loja Online"|(no mesmo dia)|Nota 1|"Nao resolveu. Somente realizou uma nova promessa: ""Em breve"""
Serasa Experian|Não Resolvido|25/04/2025, Reduto - MG|Estou aqui, indignado com o serviço prestado pelo Serasa, claro como a média do Brasileiro que não ganha o suficiente e se sacrifica pra manter suas contas em dia e mesmo assim pelo descaso do governo e pelo salário medíocre quase sempre fazemos dívidas. Más conforme previsto no artigo 206, § 5º, inciso I, do Código Civil, qualquer dúvida deve ser extinta com 5 anos, e não é isso que está acontecendo. Estou com algumas dívidas, pra ser exato 5, que já se passaram os 5 anos, más oque as empresas estão fazendo é vender as dívidas pra outras empresas cobrarem, e assim renovam a data da dívida e ficam nesse ciclo vicioso que nunca acaba! Itapeva e Ipanema são algumas das empresas que comprar a dívida e colocam uma data como se fosse uma dívida recente, más a dívida original já se passou 5 anos ou mais, isso é uma grande falta de respeito por mim e acredito que pra mais pessoas que com certeza estão passando por isso, e o Serasa tem inteira responsabilidade, pois é o mesmo que aceita a inscrição da dívida no sistema. Fora que outro ponto que não entendo, é que em OFERTAS aparecem diversas dívidas, ao todo 16, más em dívidas negativas tem apenas as 6 que estão listadas acima como dívidas compradas por outras empresas.|"Oi, Luiz. Tudo bem?


Acabamos de responder a sua solicitação. Por favor, acesse o campo ""Complemento da Reclamação"" e confira a resposta.


Conte com o nosso apoio.


Equipe Serasa Experian."|(no mesmo dia)|Nota 3|Não resolveram meu problema
Serasa Experian|Não Resolvido|25/04/2025, Montes Claros - MG|Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros.|"Oi, ALLAN. Tudo bem?


Acabamos de responder a sua solicitação. Por favor, acesse o campo ""Complemento da Reclamação"" e confira a resposta.


Conte com o nosso apoio.


Equipe Serasa Experian."|(no mesmo dia)|Nota 1|Não resolveram meu problema.
Cartões Renner (Realize CFI)|Resolvido|25/04/2025, Campinas - SP|"Olá. 
Verifiquei no aplicativo da Renner que a fatura vencimento 10/04, no valor de R$ 177,24 está pendente, porém efetuei o pagamento via pix na data do vencimento. Em anexo o comprovante do pagamento."|"Olá, tudo bem?

Informamos que sua manifestação foi respondida. 
Pedimos que verifique o retorno em “detalhes” e em caso de dúvidas você pode nos enviar uma interação através desta demanda que iremos avaliar e responder o mais breve possível.

Agradecemos pela sua confiança e parceria.

Atenciosamente,
Equipe Relacionamento Lojas Renner | Consumidor.gov"|(no mesmo dia)|Nota 5|<não há comentários do consumidor>
Samsung - Loja Online|Não Resolvido|25/04/2025, Porto Ferreira - SP|"No dia 23/01/2025, realizei uma compra no valor de R$ 6.053,15 na loja online da Samsung, aproveitando uma oferta de 20% de cashback promovida pela plataforma Méliuz. O valor do cashback, conforme informado, seria de R$ 1.169,41 e deveria ser creditado em até 30 dias após a compra.

No entanto, o prazo estipulado venceu sem que o valor fosse creditado. Entrei em contato com o atendimento da Méliuz por e-mail, e foi solicitado que eu aguardasse mais 30 dias. Mesmo após o novo prazo, encerrado em 24/04/2025 (totalizando 60 dias desde a compra), o valor ainda não foi creditado.

Ao entrar novamente em contato com a Méliuz, fui informado de que não há um novo prazo definido para resolução, o que considero um desrespeito ao consumidor e descumprimento da oferta."|"Prezado Consumidor,
Informamos que os esclarecimentos acerca da sua demanda foram prestados. Detalhamos a tratativa na carta em anexo.
Diante da finalização, peço que, por favor, avalie meu atendimento.
Agradeço sua preferência pela Samsung.
Atendimento Loja Online"|(no mesmo dia)|Nota 5|Agradeço à equipe da Samsung pela agilidade e cordialidade no retorno à minha reclamação. O atendimento foi claro, respeitoso e demonstrou preocupação em resolver o problema. No entanto, ainda aguardo a efetiva conclusão da solicitação — o depósito do cashback prometido — para considerar a questão totalmente resolvida.
